Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Vijay Tour and Travels,A/C Seater / Sleeper (2+1),19:00,01:10,06h 10m,600,19 Seats available,"3.3
47",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Sleeper (2+1),23:59,05:55,05h 56m,INR 799,25 Seats available,"4.1
35",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
New Khaira Transport,A/C Seater / Sleeper (2+1),23:45,05:00,05h 15m,INR 750,8 Seats available,"3.9
29",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
New Khaira TPT,AC Sleeper (2+1),23:15,05:00,05h 45m,INR 900,21 Seats available,"3.7
34",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
Vijay Tour and Travels,A/C Seater / Sleeper (2+1),17:00,23:20,06h 20m,600,31 Seats available,"2.8
89",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
SHRI RAM TRAVELS,A/C Seater (2+2),11:35,17:00,05h 25m,INR 740,19 Seats available,"2.6
12",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
Rahul Travels,AshokLeyland Stile A/C,22:30,05:00,06h 30m,INR 826,28 Seats available,"2.0
12",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
New Khaira Transport,A/C Seater / Sleeper (2+2),23:50,06:50,07h 00m,INR 700,21 Seats available,"1.9
19",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
SHRI RAM TRAVELS,A/C Seater (2+2),23:59,05:30,05h 31m,INR 705,15 Seats available,3.1,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
Jaiswal Holidays,A/C Sleeper (2+1),22:40,04:30,05h 50m,INR 1400,4 Seats available,2.8,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
UPSRTC - BDV0094,Ordinary Non AC Seater 2+3,10:28,13:48,03h 20m,INR 203,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - BDV0026,Ordinary Non AC Seater 2+3,10:45,13:45,03h 00m,INR 203,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - BDV0460,Janrath AC Seater 2+2,11:02,14:02,03h 00m,INR 304,36 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - BDV0106,Ordinary Non AC Seater 2+3,11:05,14:25,03h 20m,INR 203,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - BDV0084,Ordinary Non AC Seater 2+3,12:28,15:48,03h 20m,INR 203,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - ALI0007,Janrath AC Seater 2+3,12:30,15:30,03h 00m,INR 263,47 Seats available,"3.5
20",https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - BDV0098,Ordinary Non AC Seater 2+3,12:30,15:50,03h 20m,INR 203,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - ALI0175,Janrath AC Seater 2+2,12:59,16:00,03h 01m,INR 304,36 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - BDV0174,Janrath AC Seater 2+2,13:59,16:59,03h 00m,INR 304,34 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - ALI0010,Janrath AC Seater 2+2,15:00,18:00,03h 00m,INR 304,33 Seats available,"2.6
41",https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
R S YADAV SMART BUS PRIVATE LIMITED,A/C Seater / Sleeper (2+1),22:15,04:15,06h 00m,INR 799,37 Seats available,"4.3
54",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
New Khaira TPT,AC Sleeper (2+1),20:30,02:50,06h 20m,INR 749,21 Seats available,"3.3
14",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
New Khaira Transport,A/C Seater / Sleeper (2+1),20:40,03:30,06h 50m,INR 600,22 Seats available,"1.9
13",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
SHRI RAM TRAVELS,A/C Seater (2+2),23:59,05:15,05h 16m,INR 740,18 Seats available,"3.9
22",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
SHRI RAM TRAVELS,A/C Seater (2+2),18:00,23:15,05h 15m,INR 740,19 Seats available,"3.4
10",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
New Khaira Transport,A/C Seater / Sleeper (2+2),21:00,03:30,06h 30m,INR 450,40 Seats available,"1.8
45",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
New Khaira Transport,A/C Seater / Sleeper (2+2),21:30,04:30,07h 00m,INR 600,40 Seats available,"2.8
7",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
Rahul Travels,AshokLeyland Stile A/C,21:00,02:30,05h 30m,INR 826,30 Seats available,"1.9
6",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
Jaiswal Tour and Travels,A/C Seater/Sleeper (2+1),20:30,02:30,06h 00m,INR 549,52 Seats available,"1.3
6",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
New Khaira TPT,A/C Seater / Sleeper (2+2),21:00,03:00,06h 00m,INR 449,46 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
Chaturvedi Bus Service,NON A/C Seater/ Sleeper (2+1),22:00,01:30,03h 30m,INR 670,51 Seats available,2.4,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
Chaturvedi Bus Service,NON AC Seater / Sleeper 2+1,21:00,00:30,03h 30m,INR 670,45 Seats available,2.4,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
Chaturvedi Bus Service,NON A/C Seater/ Sleeper (2+1),19:30,01:30,06h 00m,INR 520,51 Seats available,2.4,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
Chaturvedi Bus Service,A/C Seater / Sleeper (2+1),20:40,02:30,05h 50m,INR 600,48 Seats available,2.4,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
KVS Holidays,Non A/C Seater / Sleeper (2+1),20:30,05:30,09h 00m,INR 699,30 Seats available,"1.0
8",https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi,Farrukhabad (Uttar Pradesh) to Delhi
Chaturvedi Bus Service,NON A/C Seater/ Sleeper (2+1),20:00,05:15,09h 15m,INR 600,51 Seats available,"3.5
12",https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi,Farrukhabad (Uttar Pradesh) to Delhi
Chaturvedi Bus Service,A/C Seater / Sleeper (2+1),19:30,05:00,09h 30m,INR 570,47 Seats available,"1.2
10",https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi,Farrukhabad (Uttar Pradesh) to Delhi
