Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
SBSTC-BURDWAN - KOLKATA - 17:00 (BWN DEPOT) - 41,Non AC Seater (2+3),17:00,19:00,02h 00m,INR 95,47 Seats available,"3.5
103",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),16:30,19:20,02h 50m,INR 429,23 Seats available,"4.4
25",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Greenline (Karunamoyee),Scania Multi-Axle AC Semi Sleeper (2+2),16:40,19:30,02h 50m,INR 429,19 Seats available,"4.4
38",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Scania Multi-Axle AC Semi Sleeper (2+2),17:00,20:00,03h 00m,INR 429,30 Seats available,"3.7
87",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Greenline,Volvo A/C Seater (2+2),17:00,19:50,02h 50m,INR 429,31 Seats available,"3.5
14",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Express Line (Karunamoyee),Volvo 9600 Multi Axle Semi-Sleeper (2+2),17:30,20:25,02h 55m,INR 429,28 Seats available,"4.3
38",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Shyamoli Paribahan Pvt Ltd,Volvo B11R Multi Axle Seater (2+2),17:55,20:45,02h 50m,INR 429,33 Seats available,"3.8
37",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Greenline (Karunamoyee),Volvo A/C Seater (2+2),18:30,21:20,02h 50m,INR 429,22 Seats available,"3.1
13",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),19:05,21:45,02h 40m,INR 429,27 Seats available,"3.8
35",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Express Line,Scania Multi-Axle AC Semi Sleeper (2+2),19:40,22:50,03h 10m,INR 429,37 Seats available,"4.0
16",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
Express Line (Karunamoyee),Volvo 9600 Multi Axle Semi-Sleeper (2+2),16:30,18:00,01h 30m,INR 429,33 Seats available,"4.9
44",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),16:30,18:30,02h 00m,INR 429,21 Seats available,"4.5
43",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Greenline,Volvo 9600 Multi Axle Semi-Sleeper (2+2),16:40,17:50,01h 10m,INR 429,34 Seats available,"4.4
29",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Greenline (Karunamoyee),Volvo A/C Seater (2+2),16:45,19:20,02h 35m,INR 429,28 Seats available,"4.2
27",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Express Line,Volvo 9600 A/C Semi Sleeper (2+2),17:20,19:30,02h 10m,INR 429,44 Seats available,"3.9
26",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Suman sabir,Non AC Seater (2+3),18:50,22:00,03h 10m,INR 111,61 Seats available,1.2,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),19:30,22:15,02h 45m,380,50 Seats available,"1.7
8",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Suman sabir,Non AC Seater (2+3),21:00,23:59,02h 59m,INR 111,54 Seats available,1.2,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Pammi Travels,A/C Sleeper (2+1),21:00,23:59,02h 59m,INR 1300,18 Seats available,3.6,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Pammi Travels,Non A/C Seater / Sleeper (2+1),21:00,23:59,02h 59m,INR 650,33 Seats available,3.6,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan
Shyamoli Paribahan Pvt Ltd,Volvo B11R Multi Axle Seater (2+2),16:50,20:45,03h 55m,INR 486,33 Seats available,"4.1
157",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Greenline (Karunamoyee),Volvo A/C Seater (2+2),17:30,21:20,03h 50m,INR 486,24 Seats available,"3.9
226",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),18:00,21:45,03h 45m,INR 486,27 Seats available,"4.2
304",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
Express Line,Scania Multi-Axle AC Semi Sleeper (2+2),18:30,22:50,04h 20m,INR 486,37 Seats available,"4.6
297",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
SBSTC-KOLKATA - HALDIA - 17.30 (HALDIA DEPOT) - 565,Non AC Seater (2+3),17:30,20:30,03h 00m,INR 110,48 Seats available,"4.3
138",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
SBSTC-KOLKATA - HALDIA - 18.15 (HALDIA DEPOT) - 566,Non AC Seater (2+3),18:15,21:15,03h 00m,INR 110,51 Seats available,"3.6
184",https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia
SBSTC-HALDIA - KOLKATA - ALL STOP - 17:30 (HLD DEPOT) - 630,Non AC Seater (2+3),17:30,20:30,03h 00m,INR 110,45 Seats available,"3.8
205",https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Kolkata
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),16:35,20:00,03h 25m,INR 486,21 Seats available,"4.2
279",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Greenline,Volvo 9600 Multi Axle Semi-Sleeper (2+2),16:40,19:15,02h 35m,INR 486,30 Seats available,"4.6
139",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Express Line (Karunamoyee),Volvo 9600 Multi Axle Semi-Sleeper (2+2),16:45,19:45,03h 00m,INR 486,33 Seats available,"4.9
231",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Greenline (Karunamoyee),Volvo A/C Seater (2+2),16:45,20:45,04h 00m,INR 486,28 Seats available,"4.2
160",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Express Line,Volvo 9600 A/C Semi Sleeper (2+2),17:20,21:20,04h 00m,INR 486,44 Seats available,"4.5
120",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),17:30,21:30,04h 00m,INR 486,44 Seats available,"4.5
353",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),19:30,23:15,03h 45m,475,37 Seats available,"3.6
171",https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Pariwartan Bus Service,NON A/C Seater / Sleeper (2+2),18:30,23:00,04h 30m,INR 500,54 Seats available, ,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
Maharani Travels,A/C Seater / Sleeper (2+1),21:05,01:30,04h 25m,740,24 Seats available,2.7,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
City Express (Shinjini),AC Seater (2+3),22:45,04:10,05h 25m,INR 320,19 Seats available,"3.8
25",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Satya Paribahan,A/C Seater (2+3),23:00,03:45,04h 45m,324,24 Seats available,"2.9
33",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Paribahan(Shinjini),A/C Seater (2+3),22:45,04:10,05h 25m,INR 320,29 Seats available,"2.9
30",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Snemita Paribahan (Shinjini),AC Seater (2+3),23:35,03:45,04h 10m,INR 420,20 Seats available,"3.1
13",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Parameswar Travels,A/C Seater Push Back (2+3),20:00,01:35,05h 35m,285,20 Seats available,"3.4
8",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Parameswar Travels,A/C Seater Push Back (2+3),21:00,03:00,06h 00m,285,15 Seats available,"2.0
10",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Parameswar Travels,A/C Seater Push Back (2+3),18:10,23:15,05h 05m,285,31 Seats available,"2.7
12",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Satya Paribahan,A/C Seater (2+3),23:30,03:40,04h 10m,296,45 Seats available,"1.9
26",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
Aradhana Travels,A/C Seater / Sleeper (2+2),18:35,23:00,04h 25m,475,14 Seats available,"2.2
16",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
